Глубина манометра;Dшт;Руст;Pлин;Рлин;Туст;Тна шлейфе;Тзаб;Tлин;Дебит газа;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Pсб;Удельная плотность газа ;G_total;КГФ
3277.8;6.35;288.78;101.9;104.1;26.5;;106.2;25.9;168.59;44.5;40.35;53.9;101.5;0.67;;224.0
3277.8;9.53;282.7;103.8;103.5;39.0;;106.4;40.1;354.22;44.5;40.35;53.9;101.5;0.67;;199.0
3277.8;11.11;271.55;103.6;102.9;45.3;;106.47;46.1;460.41;44.5;40.35;53.9;103.2;0.67;;201.0
3277.8;12.7;254.33;104.1;103.8;50.3;;106.4;50.5;569.07;44.5;40.35;53.9;102.7;0.67;;191.0
3277.8;14.3;239.13;105.8;104.0;53.5;;106.7;54.0;648.1;44.5;40.35;53.9;103.1;0.67;;192.0
3276.0;7.5;268.0;95.0;95.4;56.0;28.6;104.98;30.4;246.61;44.5;39.44;48.3;94.3;0.67;;222.0
3276.0;9.53;262.0;94.9;94.9;62.0;36.3;105.18;37.5;350.09;44.5;39.44;48.3;93.5;0.67;;212.0
3276.0;11.11;252.0;97.0;96.9;66.0;42.8;105.24;43.7;452.11;44.5;39.44;48.3;95.3;0.67;;204.0
3276.0;12.7;237.4;95.7;95.8;70.0;47.5;105.23;47.9;562.2;44.5;39.44;48.3;94.2;0.67;;198.0
3276.0;14.3;220.0;99.8;99.3;70.0;51.8;105.16;52.1;653.25;44.5;39.44;48.3;98.5;0.67;;186.0
3284.0;7.94;241.12;88.7;89.0;51.0;27.0;104.68;27.2;215.34;44.5;35.28;40.5;89.7;0.66;;201.0
3284.0;9.53;240.0;91.2;91.4;59.1;34.9;104.84;35.7;312.61;44.5;35.28;40.5;88.9;0.66;;182.0
3284.0;11.11;229.0;98.0;98.9;63.3;41.4;104.85;42.5;409.23;44.5;35.28;40.5;91.0;0.66;;165.0
3284.0;12.7;215.0;98.6;97.2;65.0;45.8;104.78;46.3;479.09;44.5;35.28;40.5;94.4;0.66;;153.0
3284.0;14.29;198.0;98.5;98.4;66.9;49.8;104.63;50.5;568.5;44.5;35.28;40.5;94.0;0.66;;147.0
3288.6;7.94;231.23;92.6;92.7;51.0;;104.4;28.1;215.8;48.37;33.21;;89.9;0.67;;182.0
3288.6;11.11;217.2;93.1;93.3;60.0;;104.6;41.3;387.68;48.37;33.21;;90.8;0.67;;145.0
3289.8;9.53;199.0;95.95;94.64;56.0;;103.9;36.16;264.3;48.4;;39.9;94.0;0.67;;139.0
